index,pnl
2010-04-26,861.9007680003548
2010-04-27,7503.0599340006
2010-04-28,4791.126468001228
2010-04-29,3637.515966000519
2010-04-30,6320.782116000954
2010-05-04,-569.9090399992638
2010-05-05,-11419.810835999562
2010-05-06,8501.39153400071
2010-05-07,-11696.36731199921
2010-05-10,2479.6152420008193
2010-05-11,-6706.228475998718
2010-05-12,479.886846001198
2010-05-13,-2972.465237999018
2010-05-14,9043.599288001065
2010-05-17,-10911.433229998936
2010-05-18,15240.317022001174
2010-05-19,24549.510384000565
2010-05-20,4632.276180000545
2010-05-21,-2964.674039999564
2010-05-24,5463.532500000737
2010-05-25,4173.909666000355
2010-05-26,8732.327088001257
2010-05-27,4270.6611420013905
2010-05-28,-5165.186309998719
2010-05-31,11861.675868000848
2010-06-01,7327.11859800112
2010-06-02,-12475.818149998311
2010-06-03,23.040432001309448
2010-06-04,3548.6715120011463
2010-06-07,-965.8856399987973
2010-06-08,-3025.046885999481
2010-06-09,-14926.008479999262
2010-06-10,6047.245410000818
2010-06-11,382.688256001118
2010-06-17,-2723.215481998526
2010-06-18,-11687.22895199948
2010-06-21,-3375.0756119990724
2010-06-22,3602.449230000955
2010-06-23,2292.7543500007637
2010-06-24,6767.7493860005725
2010-06-25,-2691.9387239987727
2010-06-28,6506.984196001145
2010-06-29,10981.610826001144
2010-06-30,-3834.461171999181
2010-07-01,2894.1258000018547
2010-07-02,-9271.860719999346
2010-07-05,-8754.933851999507
2010-07-06,5145.494106000873
2010-07-07,-2093.49420599899
2010-07-08,5444.782164000601
2010-07-09,-1780.1556539999185
2010-07-12,4138.597950000354
2010-07-13,2660.159154000573
2010-07-14,6518.901432000846
2010-07-15,-1800.4925399987994
2010-07-16,5462.865630000955
2010-07-19,-14281.496633999317
2010-07-20,1213.0579500005174
2010-07-21,5893.440486000492
2010-07-22,-2196.4054979987177
2010-07-23,6262.663968001227
2010-07-26,-5767.190183999644
2010-07-27,-48.889643999426994
2010-07-28,-5317.497521999046
2010-07-29,5503.418646001282
2010-07-30,-3730.447811999591
2010-08-02,-4902.368783999291
2010-08-03,-16524.765005998994
2010-08-04,6065.672880000464
2010-08-05,-3250.074383999481
2010-08-06,288.20572200030034
2010-08-09,10683.47026200049
2010-08-10,1910.6755080006005
2010-08-11,-6558.671753999454
2010-08-12,1541.9248200010907
2010-08-13,6246.992022000572
2010-08-16,-8976.918935998636
2010-08-17,2702.9041620007633
2010-08-18,-2712.243377998664
2010-08-19,-6315.826085999563
2010-08-20,-6042.39155399921
2010-08-23,-3158.4385679988536
2010-08-24,-11504.533565999807
2010-08-25,2362.411398000927
2010-08-26,7462.525248000928
2010-08-27,2619.2045640009283
2010-08-30,-2031.198053999618
2010-08-31,4042.1534520011455
2010-09-01,8900.445588000572
2010-09-02,-209.0428439997545
2010-09-03,-6101.120987999154
2010-09-06,4169.440674000354
2010-09-07,6027.125952001475
2010-09-08,1873.6343220005454
2010-09-09,-1438.940321999673
2010-09-10,6288.284772000818
2010-09-13,-2760.601013999427
2010-09-14,959.480958000464
2010-09-15,7953.595668001363
2010-09-16,-6298.843637999536
2010-09-17,5197.7154060004905
2010-09-20,-3747.3867059996724
2010-09-21,2018.3727000003814
2010-09-27,-1568.6564579991268
2010-09-28,-1971.5854979988
2010-09-29,-83.96046599934493
2010-09-30,6901.832340000656
2010-10-08,1700.9536500010645
2010-10-11,8054.5021500008725
2010-10-12,-5351.331755999672
2010-10-13,178.0778580005732
2010-10-14,-2285.147891999509
2010-10-15,-12212.436041999536
2010-10-18,-3444.046523999782
2010-10-19,2596.8503820002725
2010-10-20,-4125.22624199962
2010-10-21,19875.809034000245
2010-10-22,-8815.032293998824
2010-10-25,4493.813442000927
2010-10-26,21395.290692000846
2010-10-27,5665.819308000656
2010-10-28,5140.7904060009005
2010-10-29,13411.136862000709
2010-11-01,1543.1990040009814
2010-11-02,12145.773768000356
2010-11-03,9709.832664000927
2010-11-04,-333.87101999961806
2010-11-05,-6074.193539998553
2010-11-08,6057.730932001638
2010-11-09,3750.926910000573
2010-11-10,18040.73120400104
2010-11-11,15770.06176800049
2010-11-12,-27187.41473399929
2010-11-15,16966.331574000982
2010-11-16,-17285.709551999105
2010-11-17,10547.3491020006
2010-11-18,19592.018934001066
2010-11-19,3706.908882000546
2010-11-22,3357.0319560005464
2010-11-23,12390.044484000713
2010-11-24,10871.627412000164
2010-11-25,-6620.206337998608
2010-11-26,-5594.644031999318
2010-11-29,3209.7859560012294
2010-11-30,3302.7684780005993
2010-12-01,7128.716820000301
2010-12-02,-219.03619199915403
2010-12-03,1643.7032160006274
2010-12-06,1259.474418000818
2010-12-07,2494.906524000191
2010-12-08,-4817.2887419987455
2010-12-09,-2375.465855999645
2010-12-10,6132.565182000711
2010-12-13,-9714.684785999209
2010-12-14,2951.6356980008177
2010-12-15,-3827.6948639991547
2010-12-16,1220.1915000004365
2010-12-17,6221.480514000574
2010-12-20,-12637.630169999782
2010-12-21,6090.807924000464
2010-12-22,-3628.678991999836
2010-12-23,-5536.005677999508
2010-12-24,3500.1896280008727
2010-12-27,15934.230660001118
2010-12-28,5837.940420000981
2010-12-29,-3080.2404299997816
2010-12-30,-9873.941429999562
2010-12-31,-4247.841287999863
2011-01-04,-9854.633405999399
2011-01-05,5120.980506000764
2011-01-06,647.0955960004635
2011-01-07,3297.0911580005995
2011-01-10,3301.1806500006
2011-01-11,-5144.4595379992625
2011-01-12,13875.314280001036
2011-01-13,2148.8701380006005
2011-01-14,-497.5417799989368
2011-01-17,-6633.3523319988535
2011-01-18,-1441.9639499987725
2011-01-19,9578.947554000955
2011-01-20,11692.402284001773
2011-01-21,523.0445220002183
2011-01-24,2999.687406000655
2011-01-25,-3299.2909799994814
2011-01-26,-2850.4879799996725
2011-01-27,6110.868762000108
2011-01-28,-5787.648041998473
2011-01-31,19.36582200068233
2011-02-01,485.8879680005731
2011-02-09,-5845.328651999073
2011-02-10,-16639.948973999726
2011-02-11,1598.101914000464
2011-02-14,-9716.605409998334
2011-02-15,4287.302508001064
2011-02-16,14082.298716000656
2011-02-17,2636.456052000491
2011-02-18,6654.3602760006825
2011-02-21,-6847.549367999316
2011-02-22,-939.4521239990454
2011-02-23,5121.584670001036
2011-02-24,-4682.300123999235
2011-02-25,3044.691084000464
2011-02-28,445.63270800114634
2011-03-01,-9876.616967999154
2011-03-02,-1996.7236919991813
2011-03-03,-3906.409349999536
2011-03-04,-5646.948239999454
2011-03-07,-475.25450399934573
2011-03-08,11984.130360000083
2011-03-09,6355.009512001175
2011-03-10,4219.109862001254
2011-03-11,7831.136508001473
2011-03-14,3441.037026000328
2011-03-15,6515.16913800049
2011-03-16,135.76010400092855
2011-03-17,-4025.0340419991535
2011-03-18,2667.2675940011727
2011-03-21,3846.8362500010094
2011-03-22,3774.4832340009834
2011-03-23,1732.0544340010642
2011-03-24,5493.272334000737
2011-03-25,5338.060692001146
2011-03-28,-1511.248733999263
2011-03-29,-1529.770433999563
2011-03-30,2931.456342000382
2011-03-31,-6605.837063999127
2011-04-01,-5985.074795999236
2011-04-06,2619.088146000573
2011-04-07,-1252.7148899993178
2011-04-08,2787.3787620004637
2011-04-11,-3931.7057699990446
2011-04-12,-6173.988491999074
2011-04-13,4357.079832000492
2011-04-14,-71.48834999871816
2011-04-15,3147.011406000409
2011-04-18,1733.9195880007364
2011-04-19,6718.06524600112
2011-04-20,-2801.4624239987725
2011-04-21,3758.1242160003535
2011-04-22,908.5237980010374
2011-04-25,-1378.1534159994271
2011-04-26,-535.5120959991
2011-04-27,-8782.756577998824
2011-04-28,2902.665840000273
2011-04-29,3139.6583280009277
2011-05-03,-3134.9157539992357
2011-05-04,-2135.317091998909
2011-05-05,-6465.288365999155
2011-05-06,-2542.427867999591
2011-05-09,-1927.4703179989083
2011-05-10,2413.5731340009547
2011-05-11,1441.1882400005186
2011-05-12,3748.4445120010637
2011-05-13,-5331.249437998855
2011-05-16,402.51742200120043
2011-05-17,-5602.077209999537
2011-05-18,-8962.601273998745
2011-05-19,2198.9683380009274
2011-05-20,-70.22968799956357
2011-05-23,7241.426334000519
2011-05-24,-432.63163199901743
2011-05-25,2366.330406000737
2011-05-26,2726.243880000681
2011-05-27,118.4244300005455
2011-05-30,2788.971726000628
2011-05-31,2863.522806001065
2011-06-01,-1247.8199219992086
2011-06-02,-5593.965017999537
2011-06-03,-1021.464755999509
2011-06-07,-1381.7045999997272
2011-06-08,1154.6937720001365
2011-06-09,-4080.285269999318
2011-06-10,-3479.1923099995897
2011-06-13,2508.140562000709
2011-06-14,2188.200582000628
2011-06-15,1694.4616320005734
2011-06-16,5868.744726000791
2011-06-17,-5785.889843999209
2011-06-20,12801.52792200057
2011-06-21,1007.9203380005997
2011-06-22,528.008382000491
2011-06-23,-7229.180981999782
2011-06-24,-4532.212427999918
2011-06-27,-378.20175599950835
2011-06-28,-4955.589863999016
2011-06-29,6264.860982000872
2011-06-30,-2165.692385999563
