,adx_1,adx_5,adx_20,adx_60,adx_240
30/6/2009,0.003185144,0.006931888,0.015736681,0.013689269,0.005714876
31/7/2009,0.003065193,0.007734136,-0.001471046,-0.013493029,-0.050905477
31/8/2009,-0.001639528,-0.002051776,-0.001587183,-0.017045134,-0.007288818
30/9/2009,-0.003482673,-0.00526174,-0.002398329,0.006946204,0.113427781
31/10/2009,0.001604323,0.001780527,-0.026196509,-0.053944247,-0.056812631
30/11/2009,-0.001888487,-0.001787963,0.009102074,0.015652522,0.032297784
31/12/2009,-0.002579874,-0.009458595,-0.02213778,-0.028026475,-0.02782839
31/1/2010,-0.002608335,-0.004593573,0.000768141,0.007524148,0.047991681
28/2/2010,0.000870304,0.001569552,-0.006208452,-0.008544352,0.041030761
31/3/2010,-0.003351216,-0.002950713,-0.006289104,0.008316239,0.003507937
30/4/2010,-0.001319532,-0.001716911,0.003933113,0.008315092,-0.030351802
31/5/2010,0.002658181,0.003045863,-0.014794661,-0.016448377,-0.036495844
30/6/2010,0.002605801,0.000993533,0.008326275,0.025713543,0.015253361
31/7/2010,0.001975228,-0.000768174,-0.007870295,-0.009046258,0.005779272
31/8/2010,-0.002057043,-0.007140544,-0.001382558,0.007858467,0.02324243
30/9/2010,0.000890555,0.006073105,0.02146487,0.024343903,0.017432684
31/10/2010,0.005839333,0.007413477,0.006568579,-0.015351198,-0.036297347
30/11/2010,-0.001775915,-0.001630571,-4.22E-05,-0.000870608,0.001354748
31/12/2010,-0.000710449,-0.001683327,0.004726339,-0.007669506,-0.007196942
31/1/2011,0.002112033,-0.002834494,-0.013839122,-0.027353297,-0.078751252
28/2/2011,0.00086631,0.00186996,0.007249746,0.021235708,0.064707627
31/3/2011,0.00575273,0.018958023,0.034790269,0.041224921,0.032117596
30/4/2011,0.003140804,0.008799338,0.012236,0.008693539,0.003912503
31/5/2011,0.004857888,0.003641085,-0.003466762,0.00866877,-0.0448001
30/6/2011,-0.00156866,-0.001815488,-0.000758392,0.004501569,0.047793599
31/7/2011,0.000637795,0.003385687,0.008982376,0.020652179,0.000581412
31/8/2011,-0.004398776,-0.010050156,-0.02486441,-0.054283053,-0.071717082
30/9/2011,0.005099612,0.007802503,0.024738788,0.066367071,0.032249951
31/10/2011,-0.000879755,-0.004829906,-0.019522569,-0.046562168,-0.046369255
30/11/2011,0.001780084,0.003941477,0.011861025,0.026626056,0.020618703
31/12/2011,0.001280832,0.000810765,0.014151101,0.025656144,-0.020713218
31/1/2012,-0.000740652,-0.0057868,-0.016954478,-0.01758182,0.01983045
29/2/2012,0.001421713,0.012904329,0.018613323,0.028555373,0.069333715
31/3/2012,0.004938547,0.016588295,0.036472625,0.039144268,0.0528342
30/4/2012,0.000947223,-0.002786609,-0.005565621,0.001708573,-0.030723576
31/5/2012,0.002645918,0.003906553,0.001231579,-0.01736382,-0.003110917
30/6/2012,0.003161427,0.002281847,0.019611939,0.039473561,0.006161614
31/7/2012,-0.005162264,0.000505972,0.024040026,0.082848142,0.090232823
31/8/2012,0.001091152,0.003264548,0.007522445,0.010425364,0.033863646
30/9/2012,0.0086973,0.01147658,0.01597139,-0.016354517,0.021119886
31/10/2012,-0.004953588,-0.00421242,-0.009866187,-0.010770014,-0.009635847
30/11/2012,0.003341196,0.005703352,0.000449416,0.010255206,0.011206945
31/12/2012,0.00247224,0.003316923,0.003288527,-0.009551802,-0.0003841
31/1/2013,0.001871985,0.001343777,0.003820584,-0.001743865,0.021098057
28/2/2013,-0.001616146,0.003502183,0.00814824,0.0140177,0.021701502
31/3/2013,-0.001476541,0.012584219,0.019461641,0.02201548,0.011197508
30/4/2013,0.004684812,0.009592197,0.017178538,0.005718606,0.058566586
31/5/2013,-0.001508858,-0.00930477,-0.010867884,0.003669414,-0.020252546
30/6/2013,0.003105638,-4.19E-05,0.004689939,0.012225878,0.034136805
31/7/2013,-0.00587406,0.0087026,0.020607049,0.03837811,0.066864175
31/8/2013,-0.003567572,0.016845337,0.036455416,0.060346256,0.028118271
30/9/2013,0.002841135,-0.024895815,-0.052452706,-0.072102294,-0.090405344
31/10/2013,0.008316871,0.022229311,0.059033511,0.080349437,0.191573464
30/11/2013,-0.012341255,-0.027694721,-0.037124313,-0.109840993,-0.239473178
31/12/2013,-0.00093538,-0.005845149,-0.027069928,-0.037839926,-0.045332435
31/1/2014,-0.002737638,0.011040818,0.031443647,0.049098531,0.096032236
28/2/2014,0.003567822,-0.003310495,-0.01545289,-0.040071827,0.010356783
31/3/2014,0.006167363,-0.008929653,-0.014010165,0.007675457,-0.062836326
30/4/2014,-0.00529854,0.011379495,0.024608734,0.017092452,0.021474061
31/5/2014,-0.006101304,-0.013960906,-0.02926541,-0.053343672,-0.12806953
30/6/2014,-0.008034685,-0.012144923,-0.024055304,-0.054062798,-0.088902923
31/7/2014,-0.005805646,-0.00757503,0.003428237,0.025798684,0.02328817
31/8/2014,0.009217441,0.004472211,0.000854953,0.002339052,0.042865964
30/9/2014,-0.007019202,-0.007600219,0.000314729,0.01127271,-0.017297342
31/10/2014,-0.000641783,0.002899449,0.000552672,-0.0011056,0.000419053
30/11/2014,-0.007282887,-0.006245056,-0.025095956,-0.023999943,-0.000774121
31/12/2014,-0.0097595,-0.008151989,-0.004410083,-0.009942635,-0.063080766
31/1/2015,0.006163649,0.014455011,0.031608423,0.026116754,0.007962988
28/2/2015,0.002181647,-0.000244681,-0.000546506,0.002380985,0.003649541
31/3/2015,-0.000577661,-0.010447704,-0.02142335,-0.044675698,-0.027755914
30/4/2015,-0.000348706,0.00410816,0.012762627,0.017750171,0.022577154
31/5/2015,0.005065635,0.012713698,0.012621894,0.007590721,0.053072325
30/6/2015,0.000448723,0.002427791,0.00963296,0.006758795,-0.013292488
31/7/2015,-0.001137266,0.005452387,0.011978182,0.01660357,0.040593081
31/8/2015,0.000556806,-0.003703098,-9.85E-05,-0.024755891,-0.015030771
30/9/2015,-0.006218981,-0.000898241,-0.003635054,0.003494093,0.008189752
31/10/2015,0.002449998,0.000283397,-0.002800992,0.018100254,0.0050535
30/11/2015,0.003735778,0.00446169,0.004099574,0.000528867,-0.032693334
31/12/2015,-0.002704788,-0.002834368,-0.004453092,-0.016010107,-0.026983677
31/1/2016,-0.001438532,-0.000985563,-0.001167889,-0.001815526,-0.042606505
29/2/2016,0.001190831,8.19E-05,0.000627708,-0.002891187,0.003059743
31/3/2016,0.000399553,-0.002815482,-0.011427809,-0.03318099,-0.076796609
30/4/2016,0.00397682,0.005408494,0.022741328,0.028370344,0.022518245
31/5/2016,-0.002150981,-0.002418859,-0.004784862,-0.023011363,-0.012831974
30/6/2016,-0.000202564,-0.00345781,-0.017059139,-0.036490199,-0.016558178
31/7/2016,0.006482955,0.009322558,0.016031251,0.043175154,0.039597993
31/8/2016,-0.000436564,-0.003381219,-0.010698617,-0.041030086,-0.070892954
30/9/2016,-0.000508378,-0.005723355,-0.016827158,-0.026374066,-0.039846056
31/10/2016,-0.002818784,-0.008919557,-0.022241051,-0.01963904,-0.019012361
30/11/2016,-0.004710152,-0.007299791,-0.006837058,-0.020189796,-0.06259557
31/12/2016,-0.002329286,-0.008139349,-0.013030444,-0.023862448,-0.050672353
31/1/2017,-0.004521152,-0.00730745,-0.002105834,-0.00189358,-0.037850121
28/2/2017,0.005032746,0.005889978,0.007355474,0.018343639,0.04363689
31/3/2017,0.000454383,-0.002224435,-0.011703265,-0.015855599,-0.020595108
30/4/2017,-0.000618265,0.000521248,0.001723281,0.00111397,0.040032714
31/5/2017,0.000483425,0.003866241,0.008078351,0.022562874,0.076870144
30/6/2017,-8.59E-05,0.000525398,0.00299337,0.022209649,0.027134317
31/7/2017,0.000460461,-0.001034566,-0.010189852,-0.021986954,-0.015085582
31/8/2017,0.003248707,0.004527606,0.008408876,0.007974215,-0.00838751
30/9/2017,-0.00013599,-0.005832094,-0.008094696,0.009283928,0.012004019
31/10/2017,0.002912216,0.003552419,-0.002575919,0.007810066,0.012765175
30/11/2017,-0.000997824,-0.002360196,-0.008154115,-0.010244654,-0.014290946
31/12/2017,-0.001370091,-0.006878273,-0.018978149,-0.011617646,-0.007076015
